questions,reference,query
Tampilkan seluruh data pegawai,SELECT * FROM pegawai,"SELECT   nip,   nama,   kota_lahir,   tanggal_lahir,   jenis_kelamin,   status_pernikahan,   agama,   alamat,   email,   no_hp,   pangkat,   tanggal_sk_terakhir,   tmt_cpns,   jabatan,   spesialis,   gaji_pokok,   grade,   tunjangan_kinerja,   pendidikan FROM   pegawai"
"Tampilkan nama, jabatan, dan gaji pokok pegawai.","SELECT nama, jabatan, gaji_pokok FROM pegawai","SELECT p.nama, p.jabatan, p.gaji_pokok FROM pegawai AS p"
Tampilkan pegawai dengan pendidikan terakhir S1.,"SELECT nip, nama, pendidikan FROM pegawai WHERE pendidikan = 'S1'","SELECT   p.nip,   p.nama,   p.pendidikan FROM   pegawai AS p JOIN   pendidikan AS pd ON p.pendidikan = pd.id WHERE   pd.nama_pendidikan = 'S1'"
Tampilkan pegawai berdasarkan pendidikan.,"SELECT pendidikan, COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY pendidikan","SELECT pendidikan, COUNT(*) AS jumlah_pegawai FROM pegawai GROUP BY pendidikan ORDER BY pendidikan ASC "
Tampilkan pegawai yang lahir di Kota Jakarta.,"SELECT nip, nama, kota_lahir FROM pegawai WHERE kota_lahir = 'Jakarta'","SELECT   nip,   nama,   kota_lahir FROM   pegawai WHERE   kota_lahir = 'Jakarta'"
Tampilkan pegawai dengan pangkat IV/a.,SELECT * FROM pegawai WHERE pangkat = 'IV/a',SELECT * FROM pegawai WHERE pangkat = 'IV/a'
Tampilkan pegawai yang Belum Menikah.,"SELECT nip, nama FROM pegawai WHERE status_pernikahan = 'Belum Menikah'","SELECT nip, nama FROM pegawai WHERE status_pernikahan = 'Belum Menikah'"
Tampilkan pegawai berjenis kelamin laki-laki.,SELECT * FROM pegawai WHERE jenis_kelamin = 'Laki-laki',SELECT * FROM pegawai WHERE jenis_kelamin = 'Laki-laki'
Tampilkan nama pegawai yang memiliki grade lebih dari 7.,SELECT nama FROM pegawai WHERE grade > 7,SELECT nama FROM pegawai WHERE grade > 7
Tampilkan pegawai dengan spesialis perencanaan.,SELECT * FROM pegawai WHERE spesialis LIKE '%Perencanaan%',SELECT * FROM pegawai WHERE spesialis = 'Perencanaan'
Tampilkan nama dan email pegawai yang memiliki jabatan administrator.,"SELECT nama, email FROM pegawai WHERE jabatan = ""Administrator""","SELECT nama, email FROM pegawai JOIN jabatan ON pegawai.jabatan = jabatan.id WHERE jabatan.nama = ""Administrator"""
Tampilkan semua data cuti pegawai.,"SELECT p.nip, p.nama, c.tanggal_mulai, c.tanggal_selesai, c.lama_hari, c.alasan, c.status FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai","SELECT p.nip, p.nama, c.tanggal_mulai, c.tanggal_selesai, c.lama_hari, c.alasan, c.status FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai"
Tampilkan data cuti pegawai yang masih berlangsung.,"SELECT p.nip, p.nama, c.tanggal_mulai, c.tanggal_selesai, c.lama_hari, c.alasan, c.status FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung'","SELECT p.nip, p.nama, c.tanggal_mulai, c.tanggal_selesai, c.lama_hari, c.alasan, c.status FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung'"
Tampilkan pegawai yang sedang mengambil cuti lebih dari 5 hari.,"SELECT p.nip, p.nama, c.tanggal_mulai, c.lama_hari, c.alasan FROM pegawai p JOIN cuti c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung' AND c.lama_hari > 5","SELECT p.nip, p.nama, c.tanggal_mulai, c.lama_hari, c.alasan FROM pegawai p JOIN cuti c ON p.id = c.id_pegawai WHERE c.status = 'berlangsung' AND c.lama_hari > 5"
Tampilkan data cuti pegawai dengan alasan melahirkan.,"SELECT p.nip, p.nama FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.alasan = 'Melahirkan'","SELECT   p.nip,   p.nama,   c.tanggal_mulai,   c.lama_hari,   c.alasan FROM   pegawai AS p JOIN   cuti AS c ON   p.id = c.id_pegawai WHERE   c.alasan = 'Melahirkan'"
Tampilkan cuti yang berlangsung pada bulan Januari.,"SELECT p.nip, p.nama FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE STRFTIME('%m', c.tanggal_mulai) = '01'","SELECT c.id, c.tanggal_mulai, c.alasan FROM cuti c WHERE STRFTIME('%m', c.tanggal_mulai) = '01'"
Tampilkan pegawai yang cutinya sudah selesai.,"SELECT p.nip, p.nama FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = 'selesai'","SELECT p.nip, p.nama, c.tanggal_mulai, c.tanggal_selesai, c.lama_hari, c.alasan, c.status FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai WHERE c.status = 'selesai'"
Tampilkan data cuti dengan tanggal mulai dan tanggal selesai.,"SELECT tanggal_mulai, tanggal_selesai FROM cuti","SELECT c.id, c.id_pegawai, c.tanggal_mulai, c.tanggal_selesai, c.lama_hari, c.alasan FROM cuti AS c"
Tampilkan jumlah hari cuti untuk setiap pegawai.,"SELECT p.nip, p.nama, SUM(c.lama_hari) AS total_hari_cuti FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai GROUP BY p.nip, p.nama","SELECT p.nip, p.nama, SUM(c.lama_hari) AS total_hari_cuti FROM pegawai AS p JOIN cuti AS c ON p.id = c.id_pegawai GROUP BY p.nip, p.nama ORDER BY total_hari_cuti DESC"
Tampilkan semua data kehadiran pegawai.,"SELECT p.nip, p.nama, k.waktu FROM kehadiran AS k JOIN pegawai AS p ON k.id_pegawai = p.id","SELECT   p.nip AS NIP_Pegawai,   p.nama AS Nama_Pegawai,   k.tanggal AS Tanggal_Kehadiran,   k.jam AS Jam_Kehadiran,   k.status AS Status_Kehadiran FROM   pegawai AS p JOIN   kehadiran AS k ON   p.id = k.id_pegawai"
Tampilkan kehadiran pegawai pada tanggal 12 desember 2024.,"SELECT p.nip, p.nama, k.waktu FROM kehadiran AS k JOIN pegawai AS p ON k.id_pegawai = p.id WHERE k.tanggal = '2024-12-12'","SELECT p.nip, p.nama, k.waktu FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.tanggal = '2024-12-12'"
Tampilkan pegawai yang hadir tepat waktu pada tanggal 12 desember 2024.,"SELECT p.nip, p.nama, k.waktu FROM kehadiran AS k JOIN pegawai AS p ON k.id_pegawai = p.id WHERE k.status = 'tepat waktu'","SELECT p.nip, p.nama, k.waktu FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.tanggal = '2024-12-12' AND k.status = 'tepat waktu'"
Tampilkan pegawai yang hadir terlambat lebih dari 3 kali dalam bulan ini.,"SELECT p.nip, p.nama, COUNT(*) AS jumlah_terlambat FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.tanggal >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) AND k.status = 'terlambat' GROUP BY p.nip, p.nama HAVING jumlah_terlambat > 3 ORDER BY jumlah_terlambat DESC"," SELECT p.nip, p.nama, COUNT(*) AS jumlah_terlambat FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.tanggal >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH) AND k.status = 'terlambat' GROUP BY p.nip, p.nama HAVING jumlah_terlambat > 3 ORDER BY jumlah_terlambat DESC "
"Tampilkan data kehadiran untuk bulan tertentu, misalnya 'Februari'.","SELECT p.nip, p.nama, k.waktu FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.tanggal BETWEEN '2023-02-01' AND '2023-02-28'","SELECT p.nip, p.nama, k.waktu FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.tanggal BETWEEN '2023-02-01' AND '2023-02-28'"
Tampilkan jumlah kehadiran per pegawai.,"SELECT p.nip, p.nama, COUNT(*) AS jumlah_kehadiran FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai GROUP BY p.nip, p.nama ORDER BY jumlah_kehadiran DESC"," SELECT   p.nip,   p.nama,   COUNT(*) AS jumlah_kehadiran FROM   pegawai AS p JOIN   kehadiran AS k ON   p.id = k.id_pegawai GROUP BY   p.nip, p.nama ORDER BY   jumlah_kehadiran DESC "
Tampilkan kehadiran pegawai dengan jam masuk setelah pukul 08:00.,"SELECT p.nip, p.nama, TIME_FORMAT(k.waktu, '%H:%i') AS jam_masuk FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.waktu > TIME('08:00:00')","SELECT p.nip, p.nama, TIME_FORMAT(k.waktu, '%H:%i') AS jam_masuk FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE k.tanggal = CURDATE() AND k.waktu > TIME('08:00:00')"
Tampilkan data kehadiran untuk pegawai tertentu berdasarkan ID.,"SELECT p.nip, p.nama, k.waktu FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE p.id = 1","SELECT p.nip, p.nama, k.waktu FROM pegawai AS p JOIN kehadiran AS k ON p.id = k.id_pegawai WHERE p.id = 1"
